epoch,step,train_loss_batch_epoch,train_loss_batch_step,val_loss
0,20,,,0.328359454870224
0,20,0.42270055413246155,,
1,41,,,0.2595868706703186
1,41,0.30507224798202515,,
2,49,,0.23374994099140167,
2,62,,,0.2021009474992752
2,62,0.23771294951438904,,
3,83,,,0.1594918817281723
3,83,0.1871112585067749,,
4,99,,0.15618857741355896,
4,104,,,0.1342925727367401
4,104,0.15309464931488037,,
5,125,,,0.11914469301700592
5,125,0.13209950923919678,,
6,146,,,0.10793876647949219
6,146,0.11827997118234634,,
7,149,,0.10499339550733566,
7,167,,,0.09955724328756332
7,167,0.1079041138291359,,
8,188,,,0.09503453224897385
8,188,0.09900132566690445,,
9,199,,0.09081878513097763,
9,209,,,0.08940336108207703
9,209,0.0935184583067894,,
10,230,,,0.08663785457611084
10,230,0.08698922395706177,,
11,249,,0.07858317345380783,
11,251,,,0.083076111972332
11,251,0.08270470798015594,,
12,272,,,0.08230283856391907
12,272,0.07978130877017975,,
13,293,,,0.08033861219882965
13,293,0.07663805037736893,,
14,299,,0.06085120886564255,
14,314,,,0.07975222170352936
14,314,0.07700132578611374,,
15,335,,,0.07688454538583755
15,335,0.07391984760761261,,
16,349,,0.09145606309175491,
16,356,,,0.07457147538661957
16,356,0.07202466577291489,,
17,377,,,0.07360195368528366
17,377,0.06960874050855637,,
18,398,,,0.07230165600776672
18,398,0.06784113496541977,,
19,399,,0.06437936425209045,
19,419,,,0.0726437196135521
19,419,0.06791772693395615,,
20,440,,,0.07272102683782578
20,440,0.0658097118139267,,
21,449,,0.06609725952148438,
21,461,,,0.07285787910223007
21,461,0.06463588029146194,,
22,482,,,0.07071780413389206
22,482,0.06271499395370483,,
23,499,,0.058417901396751404,
23,503,,,0.07051746547222137
23,503,0.06172949820756912,,
24,524,,,0.0702822357416153
24,524,0.06162266060709953,,
25,545,,,0.06940016895532608
25,545,0.06105721741914749,,
26,549,,0.05374530330300331,
26,566,,,0.06672754883766174
26,566,0.05852193385362625,,
27,587,,,0.0721917375922203
27,587,0.05824187397956848,,
28,599,,0.051334843039512634,
28,608,,,0.06885591894388199
28,608,0.05702420696616173,,
29,629,,,0.06650044023990631
29,629,0.05657316371798515,,
30,649,,0.053006310015916824,
30,650,,,0.06480399519205093
30,650,0.05643870308995247,,
31,671,,,0.06750211864709854
31,671,0.05509546399116516,,
32,692,,,0.06549016386270523
32,692,0.054655615240335464,,
33,699,,0.04459976404905319,
33,713,,,0.06372372806072235
33,713,0.054434116929769516,,
34,734,,,0.06624078750610352
34,734,0.054099854081869125,,
35,749,,0.04204200208187103,
35,755,,,0.06531182676553726
35,755,0.05263339728116989,,
36,776,,,0.06683538109064102
36,776,0.05254000797867775,,
37,797,,,0.06230925768613815
37,797,0.051177553832530975,,
38,799,,0.06804118305444717,
38,818,,,0.0678473711013794
38,818,0.05120999366044998,,
39,839,,,0.06356726586818695
39,839,0.05050873011350632,,
40,849,,0.05830144137144089,
40,860,,,0.06298454850912094
40,860,0.05026012286543846,,
41,881,,,0.06428906321525574
41,881,0.04838181659579277,,
42,899,,0.050048526376485825,
42,902,,,0.07130325585603714
42,902,0.04920396953821182,,
