epoch,step,train_loss_batch_epoch,train_loss_batch_step,val_loss
0,20,,,0.41879531741142273
0,20,0.5300609469413757,,
1,41,,,0.3527894914150238
1,41,0.37631601095199585,,
2,49,,0.33386650681495667,
2,62,,,0.31424006819725037
2,62,0.3254823088645935,,
3,83,,,0.28557777404785156
3,83,0.2903062701225281,,
4,99,,0.2660011053085327,
4,104,,,0.26155319809913635
4,104,0.2642514109611511,,
5,125,,,0.2403748482465744
5,125,0.24286313354969025,,
6,146,,,0.2212046980857849
6,146,0.22359144687652588,,
7,149,,0.24052214622497559,
7,167,,,0.20330986380577087
7,167,0.2064581662416458,,
8,188,,,0.18943242728710175
8,188,0.19121070206165314,,
9,199,,0.15443000197410583,
9,209,,,0.17800971865653992
9,209,0.17881639301776886,,
10,230,,,0.1676488071680069
10,230,0.16818062961101532,,
11,249,,0.15171045064926147,
11,251,,,0.15895910561084747
11,251,0.15898822247982025,,
12,272,,,0.15130645036697388
12,272,0.15125402808189392,,
13,293,,,0.1447826474905014
13,293,0.14443805813789368,,
14,299,,0.14576900005340576,
14,314,,,0.13877400755882263
14,314,0.13824541866779327,,
15,335,,,0.1332198977470398
15,335,0.13290001451969147,,
16,349,,0.13059401512145996,
16,356,,,0.12854114174842834
16,356,0.1281093806028366,,
17,377,,,0.12401711940765381
17,377,0.12363307923078537,,
18,398,,,0.12015438824892044
18,398,0.1196424812078476,,
19,399,,0.12819822132587433,
19,419,,,0.11616305261850357
19,419,0.11613412201404572,,
20,440,,,0.11299716681241989
20,440,0.11271587759256363,,
21,449,,0.11398883908987045,
21,461,,,0.11000175774097443
21,461,0.10955634713172913,,
22,482,,,0.1072380319237709
22,482,0.10700494796037674,,
23,499,,0.09233196824789047,
23,503,,,0.10487474501132965
23,503,0.10441546142101288,,
24,524,,,0.10252311825752258
24,524,0.10227230936288834,,
25,545,,,0.10024330765008926
25,545,0.0999370664358139,,
26,549,,0.1114988699555397,
26,566,,,0.09862782061100006
26,566,0.0980958566069603,,
27,587,,,0.09650235623121262
27,587,0.09624630212783813,,
28,599,,0.08437000215053558,
28,608,,,0.09471388161182404
28,608,0.09443153440952301,,
29,629,,,0.09296747297048569
29,629,0.09288434684276581,,
30,649,,0.10912269353866577,
30,650,,,0.09157519787549973
30,650,0.09147714823484421,,
31,671,,,0.09006453305482864
31,671,0.0898735523223877,,
32,692,,,0.08869968354701996
32,692,0.08848992735147476,,
33,699,,0.07998350262641907,
33,713,,,0.08742297440767288
33,713,0.08703280240297318,,
34,734,,,0.08608920127153397
34,734,0.08603521436452866,,
35,749,,0.1075478121638298,
35,755,,,0.08520510792732239
35,755,0.08485943078994751,,
36,776,,,0.08388876169919968
36,776,0.08346198499202728,,
37,797,,,0.08321525901556015
37,797,0.08272947371006012,,
38,799,,0.07202701270580292,
38,818,,,0.08201409131288528
38,818,0.08159015327692032,,
39,839,,,0.08116511255502701
39,839,0.08078000694513321,,
40,849,,0.07803034037351608,
40,860,,,0.08049563318490982
40,860,0.07959867268800735,,
41,881,,,0.07922877371311188
41,881,0.07880944013595581,,
42,899,,0.09495291113853455,
42,902,,,0.07895945757627487
42,902,0.07792215794324875,,
43,923,,,0.07796528935432434
43,923,0.07719070464372635,,
44,944,,,0.07702754437923431
44,944,0.07650254666805267,,
45,949,,0.07138416171073914,
45,965,,,0.07622236758470535
45,965,0.07560437172651291,,
46,986,,,0.07573005557060242
46,986,0.07492097467184067,,
47,999,,0.07977142930030823,
47,1007,,,0.07513891160488129
47,1007,0.0740872323513031,,
48,1028,,,0.07445617020130157
48,1028,0.0735040083527565,,
49,1049,,0.06451979279518127,
49,1049,,,0.07451450079679489
49,1049,0.07304099202156067,,
50,1070,,,0.0731796845793724
50,1070,0.07207276672124863,,
51,1091,,,0.07268262654542923
51,1091,0.07140838354825974,,
52,1099,,0.07734201103448868,
52,1112,,,0.07195335626602173
52,1112,0.07071276754140854,,
53,1133,,,0.07148148119449615
53,1133,0.07009006291627884,,
54,1149,,0.06251072138547897,
54,1154,,,0.07123903185129166
54,1154,0.06950241327285767,,
55,1175,,,0.07042359560728073
55,1175,0.06896961480379105,,
56,1196,,,0.06981674581766129
56,1196,0.06852637231349945,,
57,1199,,0.05474161356687546,
57,1217,,,0.06981824338436127
57,1217,0.06788799166679382,,
58,1238,,,0.06894352287054062
58,1238,0.06724139302968979,,
59,1249,,0.08377642184495926,
59,1259,,,0.06860208511352539
59,1259,0.06682626903057098,,
60,1280,,,0.06811113655567169
60,1280,0.06625337898731232,,
61,1299,,0.06697984784841537,
61,1301,,,0.06720538437366486
61,1301,0.0655747801065445,,
62,1322,,,0.06740955263376236
62,1322,0.06523383408784866,,
63,1343,,,0.06634772568941116
63,1343,0.06479169428348541,,
64,1349,,0.059629227966070175,
64,1364,,,0.06596826761960983
64,1364,0.06431136280298233,,
65,1385,,,0.0661730021238327
65,1385,0.06380201131105423,,
66,1399,,0.058630168437957764,
66,1406,,,0.06532963365316391
66,1406,0.06333308666944504,,
67,1427,,,0.0645751953125
67,1427,0.06276274472475052,,
68,1448,,,0.06465159356594086
68,1448,0.062176063656806946,,
69,1449,,0.060442712157964706,
69,1469,,,0.06413793563842773
69,1469,0.06185486912727356,,
70,1490,,,0.0635753720998764
70,1490,0.061585016548633575,,
71,1499,,0.06634856760501862,
71,1511,,,0.06286325305700302
71,1511,0.06089045852422714,,
72,1532,,,0.06406169384717941
72,1532,0.06055131554603577,,
73,1549,,0.06356728821992874,
73,1553,,,0.06248025596141815
73,1553,0.05978432670235634,,
74,1574,,,0.06253856420516968
74,1574,0.05949991196393967,,
75,1595,,,0.061372723430395126
75,1595,0.05903976783156395,,
76,1599,,0.05655285343527794,
76,1616,,,0.06128758192062378
76,1616,0.05874330550432205,,
77,1637,,,0.06030699610710144
77,1637,0.05805839225649834,,
78,1649,,0.05487534776329994,
78,1658,,,0.06168496981263161
78,1658,0.057882387191057205,,
79,1679,,,0.06001780554652214
79,1679,0.057473182678222656,,
80,1699,,0.04531005769968033,
80,1700,,,0.06093012914061546
80,1700,0.05704696476459503,,
81,1721,,,0.059586942195892334
81,1721,0.05683904513716698,,
82,1742,,,0.05857010930776596
82,1742,0.05644580349326134,,
83,1749,,0.056741733103990555,
83,1763,,,0.05942647531628609
83,1763,0.055665023624897,,
84,1784,,,0.05845516920089722
84,1784,0.05580651015043259,,
85,1799,,0.04471484571695328,
85,1805,,,0.05799112841486931
85,1805,0.055181581526994705,,
86,1826,,,0.05764143541455269
86,1826,0.05504089221358299,,
87,1847,,,0.05798351392149925
87,1847,0.05391613766551018,,
88,1849,,0.057396624237298965,
88,1868,,,0.057557933032512665
88,1868,0.054041970521211624,,
89,1889,,,0.057564105838537216
89,1889,0.053556885570287704,,
90,1899,,0.04578426107764244,
90,1910,,,0.057185783982276917
90,1910,0.05333941802382469,,
91,1931,,,0.056090306490659714
91,1931,0.05301057547330856,,
92,1949,,0.05093318223953247,
92,1952,,,0.056401267647743225
92,1952,0.052591171115636826,,
93,1973,,,0.055884018540382385
93,1973,0.0521576851606369,,
94,1994,,,0.05530361831188202
94,1994,0.05189177393913269,,
95,1999,,0.045144181698560715,
95,2015,,,0.055088452994823456
95,2015,0.051700200885534286,,
96,2036,,,0.054729972034692764
96,2036,0.05137449875473976,,
97,2049,,0.04662815481424332,
97,2057,,,0.05436132475733757
97,2057,0.05073503032326698,,
98,2078,,,0.05519549176096916
98,2078,0.05049329251050949,,
99,2099,,0.04709018021821976,
99,2099,,,0.05352829024195671
99,2099,0.05039852485060692,,
100,2120,,,0.054112885147333145
100,2120,0.05016632378101349,,
101,2141,,,0.05406942218542099
101,2141,0.04970135539770126,,
102,2149,,0.0315825417637825,
102,2162,,,0.05338586866855621
102,2162,0.04935275763273239,,
103,2183,,,0.05319184437394142
103,2183,0.049234844744205475,,
104,2199,,0.0516950897872448,
