bce_loss,epoch,step,train_loss_batch_epoch,train_loss_batch_step,val_loss_batch
,0,49,,0.2695808708667755,
,0,99,,0.39610883593559265,
,0,149,,0.2076156884431839,
,0,199,,0.4187655448913574,
,0,249,,0.31177935004234314,
,0,299,,0.3924465477466583,
,0,349,,0.3482818901538849,
,0,399,,0.3430909812450409,
,0,449,,0.4437639117240906,
,0,499,,0.2285545915365219,
,0,549,,0.2649901509284973,
,0,599,,0.3419073522090912,
,0,649,,0.3483077883720398,
,0,699,,0.34497547149658203,
0.18896189332008362,0,719,,,0.301518976688385
,0,719,0.34334033727645874,,
,1,749,,0.29414600133895874,
,1,799,,0.1268928200006485,
,1,849,,0.17084331810474396,
,1,899,,0.3417927324771881,
,1,949,,0.2076376974582672,
,1,999,,0.6462376713752747,
,1,1049,,0.19723017513751984,
,1,1099,,0.2908238172531128,
,1,1149,,0.42402228713035583,
,1,1199,,0.2568424344062805,
,1,1249,,0.2774483859539032,
,1,1299,,0.2147783786058426,
,1,1349,,0.3261745870113373,
,1,1399,,0.3228968381881714,
0.17762291431427002,1,1439,,,0.28674548864364624
,1,1439,0.30761629343032837,,
,2,1449,,0.4842855632305145,
,2,1499,,0.316732794046402,
,2,1549,,0.23027566075325012,
,2,1599,,0.7035558819770813,
,2,1649,,0.12886761128902435,
,2,1699,,1.3270506858825684,
,2,1749,,0.684232234954834,
,2,1799,,0.3216010630130768,
,2,1849,,0.26046982407569885,
,2,1899,,0.6154627203941345,
,2,1949,,0.33905670046806335,
,2,1999,,0.2502377927303314,
,2,2049,,0.24155624210834503,
,2,2099,,0.3514278531074524,
,2,2149,,0.22477616369724274,
0.17703627049922943,2,2159,,,0.2844875752925873
,2,2159,0.295696884393692,,
,3,2199,,0.2567962110042572,
,3,2249,,0.2458832859992981,
,3,2299,,0.3171946108341217,
,3,2349,,0.20761346817016602,
,3,2399,,0.329825758934021,
,3,2449,,0.19538764655590057,
,3,2499,,0.3998752534389496,
,3,2549,,0.22618520259857178,
,3,2599,,0.3094263970851898,
,3,2649,,0.1349978893995285,
,3,2699,,0.36823463439941406,
,3,2749,,0.20198866724967957,
,3,2799,,0.2366296648979187,
,3,2849,,0.2424239218235016,
0.1760416477918625,3,2879,,,0.2829858660697937
,3,2879,0.28764355182647705,,
,4,2899,,0.15727336704730988,
,4,2949,,0.11970765143632889,
,4,2999,,0.24720916152000427,
,4,3049,,0.23410730063915253,
,4,3099,,0.22462378442287445,
,4,3149,,0.3148198127746582,
,4,3199,,0.1676662564277649,
,4,3249,,0.2125246822834015,
,4,3299,,0.15427570044994354,
,4,3349,,0.2925427258014679,
,4,3399,,0.36872291564941406,
,4,3449,,0.19649749994277954,
,4,3499,,0.2998773157596588,
,4,3549,,0.41662871837615967,
,4,3599,,0.1478908658027649,
0.176563560962677,4,3599,,,0.2831099331378937
,4,3599,0.28079473972320557,,
,5,3649,,0.1843590885400772,
,5,3699,,0.2906542122364044,
,5,3749,,0.13399814069271088,
,5,3799,,0.2031891793012619,
,5,3849,,0.2526310980319977,
,5,3899,,0.358402818441391,
,5,3949,,0.2178516983985901,
,5,3999,,0.3449060320854187,
,5,4049,,0.3404427468776703,
,5,4099,,0.17477557063102722,
,5,4149,,0.23030942678451538,
,5,4199,,0.289500892162323,
,5,4249,,0.28735989332199097,
,5,4299,,0.31120938062667847,
0.17716316878795624,5,4319,,,0.2843568027019501
,5,4319,0.27475836873054504,,
,6,4349,,0.2444761097431183,
,6,4399,,0.10783538222312927,
,6,4449,,0.12637023627758026,
,6,4499,,0.31837204098701477,
,6,4549,,0.15934032201766968,
,6,4599,,0.530393123626709,
,6,4649,,0.1402428299188614,
,6,4699,,0.23196181654930115,
,6,4749,,0.41893133521080017,
,6,4799,,0.20055845379829407,
,6,4849,,0.17072108387947083,
,6,4899,,0.18248514831066132,
,6,4949,,0.2603471577167511,
,6,4999,,0.30326732993125916,
