epoch,step,train_loss_batch_epoch,train_loss_batch_step,val_loss
0,19,,,0.4139888882637024
0,19,0.5141226053237915,,
1,39,,,0.34038153290748596
1,39,0.3795962631702423,,
2,49,,0.30584725737571716,
2,59,,,0.2924717664718628
2,59,0.3236880302429199,,
3,79,,,0.2596950829029083
3,79,0.28513625264167786,,
4,99,,0.24471314251422882,
4,99,,,0.23685109615325928
4,99,0.2579064965248108,,
5,119,,,0.21896211802959442
5,119,0.23726773262023926,,
6,139,,,0.20505653321743011
6,139,0.2208295613527298,,
7,149,,0.22027260065078735,
7,159,,,0.19269871711730957
7,159,0.20664933323860168,,
8,179,,,0.18218177556991577
8,179,0.19420604407787323,,
9,199,,0.1856243908405304,
9,199,,,0.17285998165607452
9,199,0.1835639774799347,,
10,219,,,0.16424328088760376
10,219,0.1737518310546875,,
11,239,,,0.15707366168498993
11,239,0.16542543470859528,,
12,249,,0.1543097347021103,
12,259,,,0.15028835833072662
12,259,0.15749451518058777,,
13,279,,,0.14397910237312317
13,279,0.150486022233963,,
14,299,,0.11275941878557205,
14,299,,,0.1382424682378769
14,299,0.14406165480613708,,
15,319,,,0.13342531025409698
15,319,0.1384803056716919,,
16,339,,,0.12855151295661926
16,339,0.1328420341014862,,
17,349,,0.12239555269479752,
17,359,,,0.12434796243906021
17,359,0.12780173122882843,,
18,379,,,0.12064775079488754
18,379,0.12312879413366318,,
19,399,,0.11239150166511536,
19,399,,,0.11698491126298904
19,399,0.11923716962337494,,
20,419,,,0.11337850242853165
20,419,0.11531992256641388,,
21,439,,,0.11071892082691193
21,439,0.11155293881893158,,
22,449,,0.10397342592477798,
22,459,,,0.10766889154911041
22,459,0.10822638124227524,,
23,479,,,0.10499262809753418
23,479,0.10544948279857635,,
24,499,,0.09034493565559387,
24,499,,,0.10308492928743362
24,499,0.10293149948120117,,
25,519,,,0.10101347416639328
25,519,0.1002555713057518,,
26,539,,,0.09858290106058121
26,539,0.09815901517868042,,
27,549,,0.07534605264663696,
27,559,,,0.0968853086233139
27,559,0.09600552171468735,,
28,579,,,0.09479983896017075
28,579,0.0941513180732727,,
29,599,,0.09170613437891006,
29,599,,,0.09354531019926071
29,599,0.09264511615037918,,
30,619,,,0.09172974526882172
30,619,0.09015320241451263,,
31,639,,,0.08997153490781784
31,639,0.08820593357086182,,
32,649,,0.08463741093873978,
32,659,,,0.08864597976207733
32,659,0.08703318983316422,,
33,679,,,0.08688216656446457
33,679,0.08533628284931183,,
34,699,,0.08432738482952118,
34,699,,,0.08585002273321152
34,699,0.0840068981051445,,
35,719,,,0.0847005844116211
35,719,0.08228446543216705,,
36,739,,,0.08326548337936401
36,739,0.08135737478733063,,
37,749,,0.08151400089263916,
37,759,,,0.08269950747489929
37,759,0.07962517440319061,,
38,779,,,0.08114136755466461
38,779,0.07874329388141632,,
39,799,,0.08934705704450607,
39,799,,,0.08050846308469772
39,799,0.07790359854698181,,
40,819,,,0.07926959544420242
40,819,0.07673000544309616,,
41,839,,,0.0784599781036377
41,839,0.07586827129125595,,
42,849,,0.06227006018161774,
42,859,,,0.07717535644769669
42,859,0.0741804987192154,,
43,879,,,0.07686760276556015
43,879,0.07336889207363129,,
44,899,,0.07625553011894226,
44,899,,,0.07542312145233154
44,899,0.0728444904088974,,
45,919,,,0.07457385957241058
45,919,0.07175157964229584,,
46,939,,,0.07382767647504807
46,939,0.07111447304487228,,
47,949,,0.07284364104270935,
47,959,,,0.0730113685131073
47,959,0.06979898363351822,,
48,979,,,0.07277742773294449
48,979,0.06949038803577423,,
49,999,,0.07412954419851303,
49,999,,,0.07167848199605942
49,999,0.06885673850774765,,
50,1019,,,0.07092537730932236
50,1019,0.06809243559837341,,
51,1039,,,0.07055239379405975
51,1039,0.06760482490062714,,
52,1049,,0.06445907056331635,
52,1059,,,0.07007479667663574
52,1059,0.06574568152427673,,
53,1079,,,0.0694030374288559
53,1079,0.06602749973535538,,
54,1099,,0.05557645857334137,
54,1099,,,0.06839154660701752
54,1099,0.06534901261329651,,
55,1119,,,0.06856320053339005
55,1119,0.06428124010562897,,
56,1139,,,0.06733806431293488
56,1139,0.06371510773897171,,
57,1149,,0.06773096323013306,
57,1159,,,0.06738176196813583
57,1159,0.06309240311384201,,
58,1179,,,0.0664992481470108
58,1179,0.0628039613366127,,
59,1199,,0.058366402983665466,
59,1199,,,0.06583062559366226
59,1199,0.06169372797012329,,
60,1219,,,0.06553279608488083
60,1219,0.06152188777923584,,
61,1239,,,0.06462933123111725
61,1239,0.06134184077382088,,
62,1249,,0.05651172623038292,
62,1259,,,0.06447693705558777
62,1259,0.06037367135286331,,
63,1279,,,0.06417883932590485
63,1279,0.059785109013319016,,
64,1299,,0.06702157855033875,
64,1299,,,0.06369946897029877
64,1299,0.05929562449455261,,
65,1319,,,0.06354635208845139
65,1319,0.058747321367263794,,
66,1339,,,0.06280727684497833
66,1339,0.058477289974689484,,
67,1349,,0.045906029641628265,
67,1359,,,0.06251592934131622
67,1359,0.057096175849437714,,
68,1379,,,0.061769288033246994
68,1379,0.057394374161958694,,
69,1399,,0.057739514857530594,
69,1399,,,0.061478398740291595
69,1399,0.0567886047065258,,
70,1419,,,0.06111160293221474
70,1419,0.05589783936738968,,
71,1439,,,0.06105911359190941
71,1439,0.05600156635046005,,
72,1449,,0.0531524233520031,
72,1459,,,0.06039886921644211
72,1459,0.05534311383962631,,
73,1479,,,0.060028716921806335
73,1479,0.05501831695437431,,
74,1499,,0.04333014786243439,
74,1499,,,0.0606764480471611
74,1499,0.05525662750005722,,
75,1519,,,0.05940589681267738
75,1519,0.054594703018665314,,
76,1539,,,0.05995415151119232
76,1539,0.05396155267953873,,
77,1549,,0.05185788869857788,
77,1559,,,0.05896396189928055
77,1559,0.053801555186510086,,
78,1579,,,0.05859324708580971
78,1579,0.053467415273189545,,
79,1599,,0.04695087671279907,
79,1599,,,0.05882933735847473
79,1599,0.05274235084652901,,
80,1619,,,0.05809639394283295
80,1619,0.052034296095371246,,
81,1639,,,0.05760428309440613
81,1639,0.051669973880052567,,
82,1649,,0.044023297727108,
82,1659,,,0.05748379975557327
82,1659,0.05182464048266411,,
83,1679,,,0.0571230910718441
83,1679,0.051447611302137375,,
84,1699,,0.06566251069307327,
84,1699,,,0.057018913328647614
84,1699,0.05080265924334526,,
85,1719,,,0.05717144161462784
85,1719,0.05055289715528488,,
86,1739,,,0.05642857402563095
86,1739,0.05046675354242325,,
87,1749,,0.0420931912958622,
87,1759,,,0.056135304272174835
87,1759,0.049387700855731964,,
88,1779,,,0.05636860802769661
88,1779,0.049433302134275436,,
89,1799,,0.031132442876696587,
89,1799,,,0.055776629596948624
89,1799,0.04927302524447441,,
90,1819,,,0.055338434875011444
90,1819,0.049085140228271484,,
91,1839,,,0.05647234246134758
91,1839,0.0489167720079422,,
92,1849,,0.04419393837451935,
92,1859,,,0.05533256009221077
92,1859,0.04884835332632065,,
93,1879,,,0.05463460832834244
93,1879,0.04792768508195877,,
94,1899,,0.04655654355883598,
94,1899,,,0.05475004017353058
94,1899,0.0478304848074913,,
95,1919,,,0.05449078604578972
95,1919,0.04749192297458649,,
96,1939,,,0.05446890741586685
96,1939,0.04723452776670456,,
97,1949,,0.04991701617836952,
97,1959,,,0.05454603210091591
97,1959,0.046952709555625916,,
98,1979,,,0.05410533770918846
98,1979,0.04724033921957016,,
99,1999,,0.040340110659599304,
99,1999,,,0.0538368746638298
99,1999,0.04630625247955322,,
100,2019,,,0.054059360176324844
100,2019,0.04577424377202988,,
101,2039,,,0.053581658750772476
101,2039,0.04610653221607208,,
102,2049,,0.05290268734097481,
102,2059,,,0.053250107914209366
102,2059,0.045389574021101,,
103,2079,,,0.05299536883831024
103,2079,0.04562096670269966,,
104,2099,,0.03325992077589035,
104,2099,,,0.05275486409664154
104,2099,0.04520194232463837,,
105,2119,,,0.05287686735391617
105,2119,0.04494361951947212,,
106,2139,,,0.052836909890174866
106,2139,0.04460270330309868,,
107,2149,,0.03771691396832466,
107,2159,,,0.052560098469257355
107,2159,0.04456854984164238,,
108,2179,,,0.05248020961880684
108,2179,0.0438440777361393,,
109,2199,,0.04930596053600311,
109,2199,,,0.05232404172420502
109,2199,0.04386870190501213,,
110,2219,,,0.051931317895650864
110,2219,0.04362867772579193,,
111,2239,,,0.052009157836437225
111,2239,0.04333319514989853,,
112,2249,,0.041521456092596054,
112,2259,,,0.05174670368432999
112,2259,0.043002523481845856,,
113,2279,,,0.05148348584771156
113,2279,0.043223392218351364,,
114,2299,,0.030411366373300552,
114,2299,,,0.051700886338949203
114,2299,0.04255051538348198,,
115,2319,,,0.05163971707224846
115,2319,0.042393263429403305,,
116,2339,,,0.05146501958370209
116,2339,0.04262291640043259,,
117,2349,,0.0342240147292614,
117,2359,,,0.051727134734392166
117,2359,0.04281368851661682,,
118,2379,,,0.05131397768855095
118,2379,0.04258565232157707,,
119,2399,,0.049202512949705124,
119,2399,,,0.05096423998475075
119,2399,0.04196929186582565,,
120,2419,,,0.05097280442714691
120,2419,0.04171931371092796,,
121,2439,,,0.05103503540158272
121,2439,0.04168203845620155,,
122,2449,,0.04686545208096504,
122,2459,,,0.05131841450929642
122,2459,0.04183311387896538,,
123,2479,,,0.05019782856106758
123,2479,0.041080038994550705,,
124,2499,,0.0402095690369606,
124,2499,,,0.05066512152552605
124,2499,0.041041504591703415,,
125,2519,,,0.050488706678152084
125,2519,0.04064532741904259,,
126,2539,,,0.05038677155971527
126,2539,0.04044383019208908,,
127,2549,,0.0355168953537941,
127,2559,,,0.050079863518476486
127,2559,0.04072147235274315,,
128,2579,,,0.04973764717578888
128,2579,0.039873093366622925,,
129,2599,,0.03728320449590683,
129,2599,,,0.0501108355820179
129,2599,0.03987645357847214,,
130,2619,,,0.04948940500617027
130,2619,0.03946322575211525,,
131,2639,,,0.04955284297466278
131,2639,0.0390680767595768,,
132,2649,,0.05484980717301369,
132,2659,,,0.04940103366971016
132,2659,0.038955170661211014,,
133,2679,,,0.049225419759750366
133,2679,0.03864508867263794,,
134,2699,,0.041011955589056015,
134,2699,,,0.049622729420661926
134,2699,0.03920850530266762,,
135,2719,,,0.049441393464803696
135,2719,0.03864242881536484,,
136,2739,,,0.049409594386816025
136,2739,0.038644883781671524,,
137,2749,,0.051249582320451736,
137,2759,,,0.049426332116127014
137,2759,0.038701750338077545,,
138,2779,,,0.048842303454875946
138,2779,0.038250360637903214,,
139,2799,,0.0370936244726181,
139,2799,,,0.0493302121758461
139,2799,0.037895359098911285,,
140,2819,,,0.04870164021849632
140,2819,0.03790273517370224,,
141,2839,,,0.048887379467487335
141,2839,0.03762718290090561,,
142,2849,,0.028841597959399223,
142,2859,,,0.04836323857307434
142,2859,0.03723782300949097,,
143,2879,,,0.04873648285865784
143,2879,0.03698533773422241,,
144,2899,,0.02772926166653633,
144,2899,,,0.04946776479482651
144,2899,0.03673667088150978,,
145,2919,,,0.048525143414735794
145,2919,0.036952584981918335,,
146,2939,,,0.04882859066128731
146,2939,0.036534909158945084,,
147,2949,,0.03193151205778122,
147,2959,,,0.0486280731856823
147,2959,0.03632605820894241,,
