epoch,step,train_loss_batch_epoch,train_loss_batch_step,val_loss
0,20,,,0.36710917949676514
0,20,0.40681198239326477,,
1,41,,,0.2968573272228241
1,41,0.32407817244529724,,
2,49,,0.2696801424026489,
2,62,,,0.2306576669216156
2,62,0.25836312770843506,,
3,83,,,0.18680062890052795
3,83,0.20308950543403625,,
4,99,,0.17970336973667145,
4,104,,,0.1611940711736679
4,104,0.16806283593177795,,
5,125,,,0.1433577984571457
5,125,0.14622387290000916,,
6,146,,,0.13121114671230316
6,146,0.1314457207918167,,
7,149,,0.1260080486536026,
7,167,,,0.1203162893652916
7,167,0.12012787908315659,,
8,188,,,0.11208291351795197
8,188,0.11158022284507751,,
9,199,,0.10081706941127777,
9,209,,,0.10577768087387085
9,209,0.10388779640197754,,
10,230,,,0.09946612268686295
10,230,0.09780754148960114,,
11,249,,0.09576419740915298,
11,251,,,0.09313452988862991
11,251,0.0926925539970398,,
12,272,,,0.0896536335349083
12,272,0.08955614268779755,,
13,293,,,0.08738778531551361
13,293,0.08677791059017181,,
14,299,,0.07241740822792053,
14,314,,,0.08419357240200043
14,314,0.08465954661369324,,
15,335,,,0.08275583386421204
15,335,0.0820101872086525,,
16,349,,0.0856839269399643,
16,356,,,0.08291547000408173
16,356,0.07966552674770355,,
17,377,,,0.07927402853965759
17,377,0.07822541147470474,,
18,398,,,0.08049800992012024
18,398,0.07643003016710281,,
19,399,,0.07926785945892334,
19,419,,,0.07798098027706146
19,419,0.07639771699905396,,
20,440,,,0.07819776982069016
20,440,0.07494162023067474,,
21,449,,0.06291836500167847,
21,461,,,0.07543400675058365
21,461,0.07305079698562622,,
22,482,,,0.07501256465911865
22,482,0.07169993966817856,,
23,499,,0.07632376253604889,
23,503,,,0.07525020837783813
23,503,0.07112287729978561,,
24,524,,,0.0744558796286583
24,524,0.070375956594944,,
25,545,,,0.07197520136833191
25,545,0.06911741197109222,,
26,549,,0.06865019351243973,
26,566,,,0.07132948935031891
26,566,0.06873439997434616,,
27,587,,,0.07021217793226242
27,587,0.067818284034729,,
28,599,,0.058209069073200226,
28,608,,,0.07244888693094254
28,608,0.06686900556087494,,
29,629,,,0.07259537279605865
29,629,0.0674806460738182,,
30,649,,0.0633062794804573,
30,650,,,0.06858542561531067
30,650,0.06544179469347,,
31,671,,,0.06827537715435028
31,671,0.06480465829372406,,
32,692,,,0.06944681704044342
32,692,0.06520812213420868,,
33,699,,0.06573118269443512,
33,713,,,0.06849459558725357
33,713,0.06458159536123276,,
34,734,,,0.0778057873249054
34,734,0.06381017714738846,,
35,749,,0.05647611618041992,
35,755,,,0.07139132916927338
35,755,0.06447295099496841,,
36,776,,,0.06918039917945862
36,776,0.06366448104381561,,
