epoch,step,train_loss_batch_epoch,train_loss_batch_step,val_loss
0,19,,,0.33402448892593384
0,19,0.429304838180542,,
1,39,,,0.2572479844093323
1,39,0.29515162110328674,,
2,49,,0.237720787525177,
2,59,,,0.1916068196296692
2,59,0.22197771072387695,,
3,79,,,0.15325112640857697
3,79,0.1721470057964325,,
4,99,,0.14931505918502808,
4,99,,,0.1324082762002945
4,99,0.1421506106853485,,
5,119,,,0.11827962100505829
5,119,0.12422909587621689,,
6,139,,,0.10933492332696915
6,139,0.11293438822031021,,
7,149,,0.08898591995239258,
7,159,,,0.1021997481584549
7,159,0.10364775359630585,,
8,179,,,0.09676489233970642
8,179,0.0972585454583168,,
9,199,,0.11043138056993484,
9,199,,,0.09157174080610275
9,199,0.09398248791694641,,
10,219,,,0.08806835114955902
10,219,0.0901581346988678,,
11,239,,,0.08575163781642914
11,239,0.08605877310037613,,
12,249,,0.06586794555187225,
12,259,,,0.08223845809698105
12,259,0.08392436057329178,,
13,279,,,0.08142049610614777
13,279,0.08181136846542358,,
14,299,,0.07227260619401932,
14,299,,,0.07842923700809479
14,299,0.07895781099796295,,
15,319,,,0.07826785743236542
15,319,0.07846786081790924,,
16,339,,,0.07621895521879196
16,339,0.07629205286502838,,
17,349,,0.05790329724550247,
17,359,,,0.07522612810134888
17,359,0.07405473291873932,,
18,379,,,0.07434051483869553
18,379,0.07360231131315231,,
19,399,,0.10882358998060226,
19,399,,,0.07115228474140167
19,399,0.07097302377223969,,
20,419,,,0.06952957063913345
20,419,0.07218081504106522,,
21,439,,,0.06877294927835464
21,439,0.06911832839250565,,
22,449,,0.06751042604446411,
22,459,,,0.06726489216089249
22,459,0.06717687845230103,,
23,479,,,0.06811366975307465
23,479,0.06633665412664413,,
24,499,,0.06976232677698135,
24,499,,,0.07022496312856674
24,499,0.06548965722322464,,
25,519,,,0.06621669232845306
25,519,0.06648889929056168,,
26,539,,,0.06337891519069672
26,539,0.06400097161531448,,
27,549,,0.05363486334681511,
27,559,,,0.061783239245414734
27,559,0.061941199004650116,,
28,579,,,0.06009753420948982
28,579,0.06157360225915909,,
29,599,,0.04772298038005829,
29,599,,,0.0618785098195076
29,599,0.060154855251312256,,
30,619,,,0.05975544825196266
30,619,0.05944903939962387,,
31,639,,,0.05781219154596329
31,639,0.057693302631378174,,
32,649,,0.05151156708598137,
32,659,,,0.05700746178627014
32,659,0.05782865732908249,,
33,679,,,0.05721013993024826
33,679,0.05770841985940933,,
34,699,,0.05874215066432953,
34,699,,,0.05668690428137779
34,699,0.05634294077754021,,
35,719,,,0.0551912747323513
35,719,0.05646856501698494,,
36,739,,,0.05447998270392418
36,739,0.053569067269563675,,
37,749,,0.05969099700450897,
37,759,,,0.054662659764289856
37,759,0.05417774245142937,,
38,779,,,0.05314480885863304
38,779,0.05279967933893204,,
39,799,,0.0537627674639225,
39,799,,,0.053213946521282196
39,799,0.052941061556339264,,
40,819,,,0.052703145891427994
40,819,0.05213793367147446,,
41,839,,,0.05244503915309906
41,839,0.05144232511520386,,
42,849,,0.04733811318874359,
42,859,,,0.05126476660370827
42,859,0.05078665539622307,,
43,879,,,0.05138738453388214
43,879,0.05040012672543526,,
44,899,,0.07044697552919388,
44,899,,,0.05585242807865143
44,899,0.05075221508741379,,
45,919,,,0.052052807062864304
45,919,0.050634752959012985,,
46,939,,,0.04953840747475624
46,939,0.049957599490880966,,
47,949,,0.0628698393702507,
47,959,,,0.05013039708137512
47,959,0.04850704222917557,,
48,979,,,0.04986688494682312
48,979,0.0475747175514698,,
49,999,,0.0552949458360672,
49,999,,,0.052016835659742355
49,999,0.048736296594142914,,
50,1019,,,0.05276591703295708
50,1019,0.04894157499074936,,
51,1039,,,0.04976711422204971
51,1039,0.04696875065565109,,
